Date,Item,Item_Link,Price,Seller,Seller_Link,Seller_Ratings
,[BRAND NEW] Foldable Baby High Chair Convertible / Baby Pram S$49 Brand new,https://www.carousell.sg/p/brand-new-foldable-baby-high-chair-convertible-baby-pram-1343278745/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=23,S$49,,,
,Buyer Protection Baby / Children Booster Seat Dining Chair S$12 Brand new,https://www.carousell.sg/p/baby-children-booster-seat-dining-chair-1387193756/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=25,S$12,,,
,Buyer Protection Baby Foldable Chair S$20 Brand new,https://www.carousell.sg/p/baby-foldable-chair-1387179968/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=27,S$20,,,
,Your browser does not support HTML5 video. Ready Stock Foldable Reclining Baby Chair S$79 Brand new,https://www.carousell.sg/p/ready-stock-foldable-reclining-baby-chair-1357707135/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=28,S$79,,,
,Buyer Protection Your browser does not support HTML5 video. [Brand New] Portable Baby Dining Chair Harness Toddler Safety Seat travel friendly S$19 Brand new,https://www.carousell.sg/p/brand-new-portable-baby-dining-chair-harness-toddler-safety-seat-travel-friendly-1337073850/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=29,S$19,,,
,Buyer Protection Shears Baby Bath Chair Pink S$8 S$9 Brand new,https://www.carousell.sg/p/shears-baby-bath-chair-pink-1369228745/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=30,S$8,,,
,Lucky Baby Multi-Functional Block Table & Chair Set S$37 Brand new,https://www.carousell.sg/p/lucky-baby-multi-functional-block-table-chair-set-1386624144/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=31,S$37,,,
,Inflatable Baby Chair Sofa Training Seat S$10 Brand new,https://www.carousell.sg/p/inflatable-baby-chair-sofa-training-seat-1386484867/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=32,S$10,,,
,Buyer Protection [FREE DELIVERY] Baby Throne】Baby/kids Rocking Chair/Baby Rocker/Toys/Baby Bouncer/Newborn/Toddler Portable S$55.90 Brand new Free delivery,https://www.carousell.sg/p/free-delivery-baby-throne】baby-kids-rocking-chair-baby-rocker-toys-baby-bouncer-newborn-toddler-portable-1386427484/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=33,S$55.90,,,
,Buyer Protection Baby floor chair S$14 S$15 Brand new,https://www.carousell.sg/p/baby-floor-chair-1380122509/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=34,S$14,,,
,Buyer Protection Baby High Chair S$140 Brand new,https://www.carousell.sg/p/baby-high-chair-1386357317/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=35,S$140,,,
,Buyer Protection Lucky Baby 4 in 1 Multi-Functional Block Table & Chair Set S$25 S$35 Brand new,https://www.carousell.sg/p/lucky-baby-4-in-1-multi-functional-block-table-chair-set-1345618528/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=36,S$25,,,
,Buyer Protection Baby booster Chair with Tray S$16 Brand new,https://www.carousell.sg/p/baby-booster-chair-with-tray-1386205594/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=37,S$16,,,
,Buyer Protection Baby high chair harness S$35 Brand new,https://www.carousell.sg/p/baby-high-chair-harness-1386038156/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=38,S$35,,,
